MSBNK-mFam-MC01_000046,C[C@@H]7C[C@]6([C@@H]([C@@H](C)[C@H]3[C@@H](C[C@H]4[C@@H]2CC[C@H]1C[C@H](CC[C@]1(C)[C@H]2CC[C@]34C)N=C(C5=CC=CC=C5Br)[H])O6)N(C7)[H])O[H],N-2-Brom-benzyliden-solanocapsin,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000047,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@]3([H])C[C@@]5([H])[C@]4([H])[C@H](C)[C@]6(NC[C@H](C)CC6)O5)([H])C[C@@H](O)[C@H](O)C1,2-alpha-Hydroxy-sola-dulcidin,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000048,CC1CC2(C(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)N)C)C)C)NC1)O,Solanocapsine,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000049,CC1CC(C2(C(C3C(O2)CC4C3(CCC5C4CC(C6C5(CCC(C6)O)C)O)C)C)OC1)O,Paniculogenin,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000050,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC(C6C5(CCC(C6)O)C)O)C)C)OC1,Chlorogenin,ION_MODE NEGATIVE
MSBNK-mFam-MC01_000051,CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C,7-Dehydrocholesterol,ION_MODE POSITIVE
MSBNK-mFam-MC01_000052,CC1=CCC(=C(C)C)CC1,Terpinolene,ION_MODE POSITIVE
MSBNK-mFam-MC01_000053,CC(=CCCC(=CCO)C)C,Geraniol,ION_MODE POSITIVE
MSBNK-mFam-MC01_000054,CC1=CCC2CC1C2(C)C,(+)-α-Pinene,ION_MODE POSITIVE
MSBNK-mFam-MC01_000055,CC1(C2CCC(=C)C1C2)C,(-)-β-Pinene,ION_MODE POSITIVE
MSBNK-mFam-MC01_000056,CC1(C2CCC(C2)(C1O)C)C,(+)-Fenchol,ION_MODE POSITIVE
MSBNK-mFam-MC01_000057,CC1=CCC(CC1)C(=C)C,(S)-(-)-Limonene,ION_MODE POSITIVE
MSBNK-mFam-MC01_000058,CC1(C2CCC1(C(C2)O)C)C,(+)-Borneol_pos,ION_MODE POSITIVE
MSBNK-mFam-MC01_000059,CC(=CCCC(=CC=O)C)C,Citral,ION_MODE POSITIVE
MSBNK-mFam-MC01_000060,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,Stigmasterol,ION_MODE POSITIVE
MSBNK-mFam-MC01_000061,CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C,Ergosterol,ION_MODE POSITIVE
MSBNK-mFam-MC01_000062,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,Cholesterol,ION_MODE POSITIVE
MSBNK-mFam-MC01_000063,CC1(C2CCC1(C(C2)O)C)C,(-)-Borneol,ION_MODE POSITIVE
MSBNK-mFam-MC01_000064,CC(=CCCC(=C)C=C)C,Myrcene,ION_MODE POSITIVE
MSBNK-mFam-MC01_000065,CC1(C2CCC(C1C2)(C)O)C,cis-Pinan-2-ol,ION_MODE POSITIVE
MSBNK-mFam-MC01_000066,C1CC=CC(=O)C1,2-cyclohexen-1-one,ION_MODE POSITIVE
MSBNK-mFam-MC01_000067,CC(=CCCC(C)(C=C)O)C,(-)-linalool,ION_MODE POSITIVE
MSBNK-mFam-MC01_000068,O=C1CC[C@@]2(C)[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@]([H])3C[C@@]([H])(O[C@@](C[C@H](C)CN6C(OCC7=CC=CC=C7)=O)(O)[C@@]6([H])[C@H]5C)[C@]54[H])([H])C1,"N-Cbz-22,26-epimino-23alphaOH, 16beta, 23-epoxy-5alpha, 22alphaH, 25betaH-cholestan-3-on",ION_MODE POSITIVE
MSBNK-mFam-MC01_000069,O=C1CC[C@@]2(C)[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@]([H])3C[C@]([H])(O[C@](C[C@@H](C)CN6C(OCC7=CC=CC=C7)=O)(OC)[C@@]6([H])[C@H]5C)[C@]54[H])([H])C1,"N-Benzyloxycarbonyl-22,26-epimino-23beta-methoxy-16beta,23-epoxy-5alpha,22alphaH,25alphaH-cholestan-3-on",ION_MODE POSITIVE
MSBNK-mFam-MC01_000070,O[C@H]1CC[C@@]2(C)[C@](CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])C[C@@]([H])(OC(C[C@@H](C)CN5C(OCC6=CC=CC=C6)=O)=C5[C@H]7C)[C@@]47[H])([H])C1,"benzyl (2aS,4S,6aS,6bS,8aS,8bR,9S,12R,14aR,15aS,15bR)-4-hydroxy-6a,8a,9,12-tetramethyl-2,2a,3,4,5,6,6a,6b,7,8,8a,8b,9,11,12,13,14a,15,15a,15b-icosahydronaphtho[2'',1'':4',5']indeno[1',2':5,6]pyrano[3,2-b]pyridine-10(1H)-carboxylate",ION_MODE POSITIVE
MSBNK-mFam-MC01_000071,C[C@@]12[C@](CC[C@]3([H])[C@@]([H])2CC[C@@]4(C)[C@]([H])3C[C@@]([H])(O[C@](C[C@@H](C)CN6C(OCC7=CC=CC=C7)=O)(O)[C@@]6([H])[C@H]5C)[C@]54[H])([H])C[C@@H](OC(C)=O)CC1,"benzyl (2aS,4S,6aS,6bS,8aS,8bR,9S,9aR,12R,13aS,14aR,15aS,15bR)-4-acetoxy-13a-hydroxy-6a,8a,9,12-tetramethyldocosahydronaphtho[2'',1'':4',5']indeno[1',2':5,6]pyrano[3,2-b]pyridine-10(1H)-carboxylate",ION_MODE POSITIVE
